case,t_hours,T,sigma,f1
C up-down-up,70.0000,302.5439,-8.631687e+04,3.15224616
C up-down-up,72.0000,302.2409,-7.888513e+04,3.18638624
C up-down-up,74.0000,301.9379,-7.229207e+04,3.21812863
C up-down-up,76.0000,301.6348,-6.632776e+04,3.24938139
C up-down-up,78.0000,301.3318,-6.084239e+04,3.28016164
C up-down-up,80.0000,301.0288,-5.572589e+04,3.29994326
C up-down-up,82.0000,300.7258,-5.089694e+04,3.32093695
C up-down-up,84.0000,300.4227,-4.629527e+04,3.35044585
C up-down-up,86.0000,300.1197,-4.187598e+04,3.37007738
C up-down-up,88.0000,299.8167,-3.760547e+04,3.38992706
C up-down-up,90.0000,299.5136,-3.345845e+04,3.40907333
C up-down-up,92.0000,299.2106,-2.941574e+04,3.42761886
C up-down-up,94.0000,298.9076,-2.546270e+04,3.44741857
C up-down-up,96.0000,298.6045,-2.158801e+04,3.45710739
C up-down-up,98.0000,298.3015,-1.778290e+04,3.47610405
C up-down-up,100.0000,297.9985,-1.404041e+04,3.49463668
C up-down-up,102.0000,297.6955,-1.035500e+04,3.51274830
C up-down-up,104.0000,297.3924,-6.722175e+03,3.53127047
C up-down-up,106.0000,297.0894,-3.138246e+03,3.54077752
C up-down-up,108.0000,296.7864,3.998849e+02,3.55948872
C up-down-up,110.0000,296.4833,3.894845e+03,3.57781860
C up-down-up,112.0000,296.1803,7.348902e+03,3.58684803
C up-down-up,114.0000,295.8773,1.076404e+04,3.60464909
C up-down-up,116.0000,295.5742,1.414204e+04,3.62212206
C up-down-up,118.0000,295.2712,1.748448e+04,3.63074089
C up-down-up,120.0000,294.9682,2.079281e+04,3.64915749
C up-down-up,122.0000,294.6652,2.406836e+04,3.65823816
C up-down-up,124.0000,294.3621,2.731236e+04,3.67615493
C up-down-up,126.0000,294.0591,3.052597e+04,3.68499504
C up-down-up,128.0000,293.7561,3.371026e+04,3.70244811
C up-down-up,130.0000,293.4530,3.686626e+04,3.71106463
C up-down-up,132.0000,293.1500,3.999492e+04,3.72808598
C up-down-up,134.0000,293.4441,2.533325e+04,3.67621834
C up-down-up,136.0000,293.7382,1.681976e+04,3.63860337
C up-down-up,138.0000,294.0324,9.607156e+03,3.61000741
C up-down-up,140.0000,294.3265,3.190219e+03,3.58145784
C up-down-up,142.0000,294.6206,-2.616942e+03,3.55426058
C up-down-up,144.0000,294.9147,-7.944472e+03,3.52586818
C up-down-up,146.0000,295.2088,-1.289188e+04,3.50711840
C up-down-up,148.0000,295.5029,-1.753598e+04,3.48824521
C up-down-up,150.0000,295.7971,-2.193623e+04,3.46921517
C up-down-up,152.0000,296.0912,-2.613880e+04,3.44998483
C up-down-up,154.0000,296.3853,-3.017958e+04,3.43141848
C up-down-up,156.0000,296.6794,-3.408661e+04,3.41161248
